,,,,,,,,,,,,,,,,,,,,
Segment,CC,CC Name,START DATE,END DATE,2026-2030 QTY,2026 EU Qties,2027 EU Qties,2028 EU Qties,2029 EU Qties,2030 EU Qties,"EBOOST (E-KIT) NAME
ICO","PLATFORM
ICO",Motor,Driver,Battery,Display,PROJECT MANAGER,BOM created?,COMMENT,CC ZIMON
CITY,124388,TUC ELOPS 900 HF E,10/2/2016,12/31/2027,Exist but No quantity,0,0,0,0,0,ELOPS 900E V1,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Simon Midrier,TRUE,,124388
CITY,130720,Dive Light EOS 10 R,8/4/2017,12/31/2028,Exist but No quantity,0,0,0,0,0,No EBOOST KIT,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Maker - No ICO,FALSE,,130720
CITY,90777,TUC ELOPS 900 LF E,10/2/2016,6/30/2028,"26,400",10400,10000,6000,0,0,ELOPS 900E V1,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Simon Midrier,TRUE,,90777
CITY,9900302285,LD 500E LF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 500,HUB 500 2020,MHLGK,DV3,,HUB cargo M,Simon Midrier,TRUE,,302285
CITY,9900302291,LD 920 E2D HF,10/1/2021,2/29/2028,738,738,0,0,0,0,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,302291
CITY,9900302307,LD 500E HF,7/1/2021,2/29/2028,"4,100",2700,1400,0,0,0,eLD 500,HUB 500 2020,MHLGK,DV3,,HUB cargo M,Simon Midrier,TRUE,,302307
CITY,9900302308,LD 920 E2D MF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,302308
CITY,9900305554,CITY EBIKE ELOPS 920 HF,5/1/2019,12/31/2026,Exist but No quantity,0,0,0,0,0,ELOPS 920E connect,BROSE Cmag,Brose Cmag,MDU,,NA,Simon Midrier,TRUE,,305554
CITY,9900305573,CITY EBIKE ELOPS 920 LF,5/1/2019,2/29/2028,"1,380",1380,0,0,0,0,ELOPS 920E connect,BROSE Cmag,Brose Cmag,MDU,,NA,Simon Midrier,TRUE,,305573
CITY,9900305582,CITY EBIKE ELOPS 120 LF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,ELOPS 120E V1,#N/A,#N/A,#N/A,#N/A,#N/A,Simon Midrier,TRUE,,305582
CITY,9900329211,VELOCARGO F900 Family,1/1/2022,9/30/2030,"4,260",1000,900,800,800,760,VELOCARGO F900E,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,329211
CITY,9900338408,VELOCARGO F900E BOX,1/29/2023,6/30/2029,Exist but No quantity,0,0,0,0,0,VELOCARGO F900E,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,338408
CITY,9900338464,E-THREE 900,2/7/2026,1/31/2031,"13,500",0,3500,3600,3200,3200,L loading 700 Wh MY26,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,VELOCARGO Rear L Loading is this bike? Matthieu PASSARD -BTWIN VILLAGE LILLE-,338464
CITY,9900342478,XL LOADING Rear USCAN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,VELOCARGO Rear XL Loading,#N/A,#N/A,#N/A,#N/A,#N/A,Matthieu PASSARD -BTWIN VILLAGE LILLE-,FALSE,This bike is cancelled but we still have quantities in Cycling universe,342478
CITY,9900342534,L LOADING REAR USCAN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,L loading 700 Wh MY26,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,342534
CITY,9900342544,XL LOADING REAR,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,VELOCARGO Rear XL Loading,#N/A,#N/A,#N/A,#N/A,#N/A,Matthieu PASSARD -BTWIN VILLAGE LILLE-,FALSE,This bike is cancelled but we still have quantities in Cycling universe,342544
CITY,9900347006,M LOADING 900 USCAN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,M loading 700 Wh MY26,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,TRUE,,347006
CITY,9900347091,E-TWO 900,1/1/2026,1/31/2031,"13,400",0,3500,3200,3300,3400,M loading 700 Wh MY26,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,347091
CITY,9900347248,Cargo bike 900 E CN,1/1/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,MAKER,Maker,Maker,Other,,maker,Project not validated,FALSE,,347248
CITY,9900347319,LD 500E LF CN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 500,HUB 500 2020,MHLGK,DV3,,HUB cargo M,Simon Midrier,TRUE,,347319
CITY,9900349924,VELOCARGO R500E V2,1/1/2023,2/22/2027,"1,150",1150,0,0,0,0,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,349924
CITY,9900352094,LD 940E CONNECT LF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 940,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,352094
CITY,9900353001,Cargo bike R500E CN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Maker - No ICO,FALSE,,353001
CITY,9900353010,LD 920 E2D LF CN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,353010
CITY,9900355444,LD 920 AUTOMATIC LF UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,355444
CITY,9900355482,LD 920 AUTOMATIC HF UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,355482
CITY,9900356181,E-THREE 500,12/14/2025,3/31/2030,"30,700",14000,10500,5200,1000,0,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,356181
